Russian,English
"The use of sophisticated and costly characterization methods is not justified for SRSs, which do not represent a radiation hazard and which are not important for the safety of the post-closure phase of the future disposal facility.|В случае ЗРИ, не представляющих радиационной опасности и не имеющих значения с точки зрения безопасности будущего пункта захоронения после его закрытия, применение сложных и дорогостоящих методов характеризации представляется неоправданным.|",Characterization by destructive methods|Характеризация разрушающими методами|
Destructive methods should be considered only when it is absolutely necessary. |Разрушающие методы должны использоваться только в случае крайней необходимости. |,If a sealed radioactive source has been submitted to a laboratory for destructive analysis it would no longer be considered a sealed source and would require subsequent treatment and conditioning in conformance with relevant waste acceptance criteria. |В случае передачи закрытого радиоактивного источника в лабораторию для выполнения разрушающего анализа он более не считается закрытым и в дальнейшем подлежит обработке и кондиционированию согласно соответствующим критериям приемлемости отходов. |
"More details of sampling and analysis methods are given in Refs [55, 56].|Более подробные сведения о методах отбора и анализа проб содержатся в [55, 56].|",CHARACTERIZATION OF LEAKING SOURCES|ХАРАКТЕРИЗАЦИЯ НЕГЕРМЕТИЧНЫХ ИСТОЧНИКОВ|
"Before the handling of a disused source, smear tests on the source need to be carried out to check for any leakage (see Fig. 45). |Перед началом манипуляций с изъятыми из употребления источниками необходимо взять с них мазки для проверки на герметичность (см. рис. 45). |","Alpha, beta and low energy X and gamma ray contamination monitors could be used for detecting source leakage by the wipe test method."
"|Для выявления негерметичного источника путем анализа мазковых проб могут применяться детекторы радиоактивного загрязнения, реагирующие на альфа-, бета- и низкоэнергетическое рентгеновское и гамма-излучение.|",FIG. 45. |РИС. 45. |
Smear tests for contamination control.,|Взятие мазков для проверки источников на загрязнение.|
LESSONS LEARNED|ИЗВЛЕЧЕННЫЕ УРОКИ|,Most disused sealed sources will have associated beta and/or gamma emissions. |Большинство изъятых из употребления закрытых источников имеют сопутствующее бета- и/или гамма-излучение. |
"These can be detected with unsophisticated equipment such as an end window or a thin walled Geiger-Muller (GM) tube monitor. |Оно может быть обнаружено с помощью несложного оборудования, такого как торцевой или тонкостенный счетчик Гейгера-Мюллера. |","Scintillation monitors, if available, are preferred because of their shorter response times. |Наиболее предпочтительными являются сцинтилляционные детекторы, так как они обладают меньшим временем реакции. |"
"This basic equipment is not applicable or not reliable if the source is an alpha or neutron emitter, or if a beta source is positioned in a shielding housing. |Этот простейший прибор неприменим или дает ненадежные показания в случае источников альфа-излучения и нейтронов, а также источников бета-излучения в защитном кожухе. |","Instruments sensitive to alpha or neutron radiation may be required if sources with such radionuclides are expected to be encountered.|Если предполагается наличие источников на основе таких радионуклидов, могут потребоваться приборы, чувствительные к альфа-излучению или нейтронам.|"
"Gamma dose rate measurements give the primary information on the existence of gamma radiation and can under certain conditions to assess the activity of the sources. |Измерение мощности дозы гамма-излучения является первичной процедурой, позволяющей установить наличие гамма-излучения, и при определенных условиях может быть использовано для оценки активности источника. |","The activity of the SRSs can be quantified by using the measured dose rate, the dose to activity conversion factor and the nuclide composition of the SRSs (if known). |Активность ЗРИ может быть рассчитана исходя из измеренной мощности дозы, коэффициента пересчета дозы в активность и радионуклидного состава ЗРИ, если он известен. |"
"Experience shows that dose rate measurements are insufficient to fully characterize the SRSs because they require additional detailed information such as radionuclide composition, encapsulation materials, structure materials, matrix and shielding.|Практика показывает, что для полной характеризации ЗРИ недостаточно только измерения мощности дозы, необходим также ряд дополнительных сведений, таких как радионуклидный состав, герметизирующие материалы, конструкционные материалы, матрица и защита.|","Most detectors used in gamma spectrometry use either NaI(Tl) scintillation (low resolution), HPGe (high purity germanium) semiconductor (high resolution) and CdTe (medium resolution) detectors. |В гамма-спектрометрии в большинстве случаев используются сцинтилляционные детекторы на основе NaI(Tl) (низкое разрешение), а также полупроводниковые детекторы на основе HPGe (высокочистого германия) (высокое разрешение) и CdTe (среднее разрешение). |"
Systems varying from hand-held devices to specially installed systems using these methods have been available for a number of years. |Уже в течение ряда лет на базе этих методов действуют самые различные приборы — от ручных устройств до специально устанавливаемых систем. |,Low resolution systems require less maintenance and no cooling. |Системы с низким разрешением требуют меньшего технического обслуживания и не нуждаются в охлаждении. |
"A disadvantage is that only simple spectra (less than 10 well resolved peaks in an energy range from 35 to 1500 keV) can be collected and analysed. |Их недостатком является то, что они позволяют получить и проанализировать лишь простые спектры (менее десяти пиков с достаточным разрешением в энергетическом диапазоне 35-1500 кэВ). |","However, it can be used to identify SRSs in historical waste if the activity level of SRSs is high enough and taking into account that SRSs are mainly ‘mono’ nuclide sources. |Тем не менее такие системы могут использоваться для идентификации ЗРИ в отходах прежней деятельности при условии, что уровень активности ЗРИ достаточно высок и с учетом того, что большинство ЗРИ содержат лишь один радионуклид. |"
Medium resolution systems (CdTe) are a good compromise between low and high resolution systems. |Системы со средним разрешением (на основе CdTe) являются хорошим компромиссом между системами с низким и высоким разрешением. |,"High resolution systems require cooling (liquid nitrogen or electro-cooling) and are normally expensive and less robust than room temperature devices. |Системы с высоким разрешением нуждаются в охлаждении (используется жидкий азот или электроохлаждение), обычно дорогостоящи, а также менее надежны, чем системы, работающие при комнатной температуре. |"
The advantage of a high resolution system is the ability to deal with a very high number of different gamma ray peaks.|Их преимуществом является способность отобразить чрезвычайно большое количество разных пиков гамма-излучения.|,"From the measurement point of view, shielded alpha or beta sources are the most difficult to detect and measure. |Наиболее сложными с точки зрения обнаружения и измерения являются защищенные источники альфа- и бета-излучения. |"
"Inferential techniques based on key nuclides, which may be used to characterize well qualified waste generation and conditioning processes, are not applicable for characterization of SRSs.|Косвенные методы, базирующиеся на основных нуклидах, которые могут использоваться для характеризации типичных процессов образования и кондиционирования отходов, для характеризации ЗРИ неприменимы.|",SOURCE HANDLING|ОБРАЩЕНИЕ С ИСТОЧНИКАМИ|
"Source handling includes any physical manipulation of a source, including moving, transfer, relocation, removing from or putting in a container, disassembling the part of equipment containing a source, removing a source from the equipment, measuring, inspecting or testing.|Обращение с источниками включает любые физические манипуляции с источником, в том числе перемещение, перенос, изменение местоположения, извлечение из контейнера или помещение в контейнер, разборку части оборудования, содержащего источник, извлечение источника из оборудования, измерение, осмотр или испытание.|","As discussed in earlier sections, sealed sources contain radioactive material that is much more concentrated than other radioactive waste typically handled in a facility. |Как говорилось в предыдущих разделах, закрытые источники содержат радиоактивный материал, чья концентрация гораздо выше, чем у других радиоактивных отходов, с которыми приходится иметь дело на установке. |"
"When planning and executing work involving source handling, the potential increase in severity of loss of contamination control and the potentially high exposures that can be received during source handling, must be considered. |При планировании и осуществлении работ, связанных с обращением с источниками, необходимо учитывать возможное ухудшение ситуации, вызванное утратой контроля над загрязнением, и вероятность получения высоких доз облучения при обращении с источниками. |","While handling disused sources, industrial and radiation safety need to be observed.|При обращении с изъятыми из употребления источниками необходимо соблюдать правила производственной и радиационной безопасности.|"
Sealed sources may be an integral part of the equipment. |Закрытые источники могут быть встроенной частью оборудования. |,"This equipment may be connected with a chemical/ physical process and special precautions may be required to avoid certain dangers. |Это оборудование может быть связано с тем или иным химическим/физическим процессом, и, чтобы избежать определенных опасностей, могут потребоваться специальные меры предосторожности. |"
"Sealed sources may also be in a unique chemical/physical form that may require special precautions. |Закрытые источники могут иметь также уникальную химическую/физическую форму, которая может потребовать специальных мер предосторожности. |","Sources may also be leaking, which would again require specific radiation safety measures.|Кроме того, источники могут быть негерметичными, и в этом случае опять же потребуются специальные меры радиационной безопасности.|"
HANDLING SAFETY REQUIREMENTS|ТРЕБОВАНИЯ БЕЗОПАСНОСТИ ПРИ ОБРАЩЕНИИ|,"Users must ensure that all national and facility/installation radiation protection requirements [11] are met, and that the appropriate controls are in place to both reduce the potential for dispersion of radioactive contamination and to ensure that individual exposures are minimized. |Пользователи должны обеспечить соблюдение всех требований радиационной защиты на национальном уровне и на уровне установки/объекта [11], а также наличие соответствующих средств контроля для снижения возможности рассеивания радиоактивного загрязнения и сокращения индивидуального облучения до минимума. |"
"The basic principles outlined in this section are valid for handling of all sources whether in use, identified as potentially disused, or declared as disused. |Основные принципы, изложенные в данном разделе, применимы при обращении со всеми источниками, независимо от того, находятся ли они в эксплуатации, намечены к изъятию из эксплуатации или объявлены изъятыми из эксплуатации. |",These principles are also applicable to all stages of the management of disused sources.|Эти принципы применимы также ко всем этапам обращения с изъятыми из употребления источниками.|
"The facility where a source is used should be equipped with appropriate capabilities for source handling, including lifting/hoisting tools, adequate lighting and power sources, remote and hand held radiation and contamination monitoring instrumentation. |Установка, в которой используется источник, должна быть оснащена соответствующими средствами для обращения с источником, включая грузоподъемное оборудование, достаточное освещение и источники питания, а также измерительные приборы для дистанционного и ручного мониторинга радиации и загрязнения. |","The complexity and sophistication of handling capabilities are directly related to the potential hazards of the sources to be handled.|Уровень сложности и технического совершенства средств обращения с источниками напрямую связан с потенциальной опасностью источников, с которыми ведется работа.|"
"When disused sources are handled, some precautions need to be taken to prevent mechanical damage to the source (e.g. dropping from a height, struck by a handling machine or a fork lift); to ensure functionality of the safety systems of the source holder (e.g. locking mechanism of the sources is intact); and to provide radiation protection of the operating personnel. |При обращении с изъятыми из употребления источниками необходимо принимать определенные меры предосторожности для предотвращения механического повреждения источника (например, при падении с высоты, ударе перегрузочной машиной или вилочным подъемником); обеспечения работоспособности систем безопасности держателя источника (например, исправности механизма блокировки источника); обеспечения радиационной защиты работников. |","Consequently, general and industrial safety rules need to be observed.|Поэтому необходимо соблюдать общие правила безопасности, а также технику безопасности на производстве.|"
WORK PLANNING|ПЛАНИРОВАНИЕ РАБОТЫ|,Sealed sources pose a potential radiological risk during handling. |Обращение с закрытыми источниками потенциально сопряжено с радиологическим риском. |
"This risk depends on the type of radionuclide, source activity, chemical and physical form, physical condition of the source and the possibility of leaking. |Он зависит от типа радионуклида, активности источника, его химической и физической формы, физического состояния источника и возможности разгерметизации. |","It is important to fully assess the type and nature of all risks involved before undertaking any source handling operations. |Важно точно определить тип и характер всех возможных рисков до того, как начинать какие-либо манипуляции с источником. |"
"Radiation exposure dose estimation needs to be carried out for the specific handling procedure to provide for safety and radiation protection measures.|Перед выполнением той или иной процедуры обращения с источником необходимо произвести оценку дозы облучения, чтобы предусмотреть меры безопасности и радиационной защиты.|","In planning and implementing the handling of sources, consideration should be given to the factors that may affect the safety of the source and lead to potential exposure of the workers and the public, and/or contamination of the environment. |При планировании и осуществлении операций по обращению с источниками следует учитывать факторы, которые могут повлиять на безопасность источника и привести к потенциальному облучению работников и населения и/или загрязнению окружающей среды. |"
"These factors need to be taken into account, regardless of a source being handled: bare, in a container, in a transport package, or in its original housing/enclosure in which it had been used as a part of an apparatus. |Эти факторы необходимо принимать во внимание независимо от того, в каком виде находится источник: без экранирования, в контейнере, в транспортном упаковочном комплекте или в заводском корпусе/чехле, в котором он использовался в составе прибора. |","All handling operations should be planned, tested and implemented jointly with the radiation protection staff.|Планирование, отработка и осуществление всех операций по обращению должны проводиться совместно с персоналом по радиационной защите.|"
"In addition to radiological protection concerns, source handling typically requires manipulation and movement of heavy, bulky objects, use of rigging/hoisting and other material movement equipment, and use of standard tools for opening and closing containers. |Помимо обеспечения радиологической защиты при обращении с источниками обычно требуется работать с тяжелыми, громоздкими предметами и перемещать их, использовать грузоподъемное и иное оборудование для перемещения материалов, а также использовать стандартные инструменты для открывания и закрывания контейнеров. |","All industrial safety hazards and protection methods should be evaluated and used as appropriate.|Следует оценить все риски, связанные с техникой безопасности на производстве, и по мере необходимости использовать методы защиты.|"
Planning should include:|Планирование должно включать:|,"Review of licensing documents issued by regulatory body, ensuring that the source handling operations to be conducted are authorized and that any specific requirements of the license are met;|изучение лицензионной документации, выданной регулирующим органом, чтобы убедиться, что предстоящие операции по обращению с источником разрешены и все особые требования лицензии соблюдены;|"
"Review of facility characteristics to ensure appropriate access and egress pathways exist, shielding and air handling is appropriate as installed or can be supplemented to support specific work, tools and equipment requirements are identified and satisfied, staging and storage areas are available;|анализ характеристик объекта, чтобы убедиться в наличии соответствующих путей входа и выхода, в том, что системы экранирования и вентиляции в существующем виде приемлемы или могут быть усилены для удовлетворения особых нужд, что требования к инструментам и оборудованию определены и выполнены, что имеются зоны для складирования и хранения;|","Sources to be handled are identified;|определение источников, с которыми будет вестись работа;|"
Tasks to be performed are clearly defined and sequenced;|четкое определение выполняемых задач и их последовательности;|,"Operators are trained and qualified to perform the work, and include those with specific experience in both the tasks to be performed and the types and activities of sources to be handled;|наличие у операторов, выполняющих работы, соответствующей подготовки и квалификации и наличие среди них специалистов, обладающих конкретным опытом выполнения поставленных задач и обращения с источниками данного типа и уровня активности;|"
Response to incidents or emergencies is identified and adequate.|определение надлежащих мер реагирования на инциденты или аварийные ситуации.|,ROUTINE SOURCE HANDLING|ОБЫЧНЫЕ ОПЕРАЦИИ ПО ОБРАЩЕНИЮ С ИСТОЧНИКАМИ|
Collection|Сбор|,"The first handling step for a disused source is to collect it from the user, or from the place where it was recovered, for safe storage, pending a decision on the future management step. |При обращении с изъятым из употребления источником сначала его необходимо забрать у пользователя или из места, где он был извлечен, для безопасного хранения в ожидании решения о его дальнейшей судьбе. |"
"This work is usually carried out by the CRWMO or a similar organization, e.g. the national radioactive waste management agency. |Эта работа обычно выполняется ЦООРО или аналогичной организацией, например национальным агентством по обращению с радиоактивными отходами. |","Prior to collection, all possible information on the source needs to be gathered.|Перед тем, как забрать источник, необходимо собрать всю возможную информацию о нем.|"
The most immediate measure to be taken once an orphan source has been located is to ensure that members of the public in the vicinity are adequately protected. |При обнаружении бесхозного источника прежде всего необходимо обеспечить надлежащую защиту населения этого района. |,"The hazards presented to the public from an orphan source will vary in both the type and severity of the hazard depending on both the source and the conditions where the sources is located, thus the most conservative and yet most effective protective measure that can be taken, under all circumstances is to isolate the public from the source. |Тип и степень опасности бесхозного источника для населения будут зависеть как от самого источника, так и от условий, в которых находится, и поэтому в любых обстоятельствах наименее радикальная и в то же время наиболее эффективная защитная мера — это оградить население от воздействия источника. |"
"The potential for both external and internal exposures could be reduced by restricting access and keeping the public away from the source. |Вероятность внешнего и внутреннего облучения можно уменьшить, ограничив доступ к источнику и не позволяя людям приближаться к нему.|","Establishing access control at the site of an orphan source can be completed through erection of barriers, putting up signs/labels, covering the source, personal communications or other means.|Доступ к бесхозному источнику на объекте может контролироваться путем установки барьеров, размещения знаков/надписей, укрытия источника, доведения информации до сведения лично или другими способами.|"
"Proper collection of a leaking source is a challenging operation since it may result in the spread of contamination. |Надлежащий вывоз негерметичного источника представляет собой сложную операцию, поскольку она может привести к распространению загрязнения. |","Therefore, suitably qualified and experienced personnel are required to perform the operation, involving leak testing. |Поэтому для выполнения этой операции, включающей проверку на герметичность, требуется квалифицированный и опытный персонал. |"
"The leaking source needs to be overpacked, and the areas where leaking sources are handled need to be covered, for example by a plastic sheet in order to facilitate decontamination and prevent the spread of contamination.|Негерметичный источник должен быть помещен в транспортный пакет, а места работы с негерметичными источниками должны быть накрыты, например пластиковой пленкой, чтобы облегчить дезактивацию и предотвратить распространение загрязнения.|",Segregation|Разделение|
"Taking into consideration the need to optimize the following waste management operations (i.e. ability of handling equipment, shielding equipment, monitoring equipment, packaging, storage containers), the disused sources may be sorted and grouped based on the management option to be applied, or by characteristics of the source (radionuclides, half-life, activity, chemical and physical form) or unique source types, such as radium sources or neutron sources.|Принимая во внимание необходимость оптимизации последующих операций по обращению с отходами (т. е. работоспособность погрузо-разгрузочного оборудования, экранирующего оборудования, оборудования мониторинга, упаковки, контейнеров для хранения), изъятые из употребления источники могут быть отсортированы и сгруппированы в зависимости от применяемого варианта обращения либо от характеристик источника (радионуклиды, период полураспада, активность, химическая и физическая форма) или уникальных типов источников (радиевые или нейтронные источники).|","One of the first factors in sorting/segregating sources is whether the source is installed in a device, or is a free standing source. |При сортировке/разделении источников необходимо сначала определить, установлен ли источник в устройство или нет. |"
"All sources that are installed within a device that require device disassembly should be segregated and staged in an appropriate storage area.|Необходимо отделить все источники, установленные в устройство и требующие его разборки, и поместить их в соответствующую зону хранения.|","The next group of sources that could be segregated as a unique inventory are those with low activities and extremely short half-lives, meeting the requirements of the Member State for allowing the source to decay until no further detectable activity is measured. |Следующая группа источников, которые могут быть обособлены — это низкоактивные источники с чрезвычайно коротким периодом полураспада, отвечающие требованиям государства-члена, которые допускают распад источника до падения активности ниже значений, фиксируемых приборами. |"
"This typically is restricted to sources containing nuclides with half-lives less than 120 days. |Обычно в эту группу входят только источники, содержащие нуклиды с периодом полураспада менее 120 дней. |","After segregation of devices that will require disassembly and removal of those sources with nuclides that can be allowed to decay away for disposition, the remaining sources can be sorted and segregated based on a combination of characteristics including potential disposition pathways, special types of sources, and high activity sources that preclude source handling by short or long handled tools.|После отделения устройств, требующих разборки, и удаления тех источников нуклидов, в отношении которых допускается утилизация после полного распада, оставшиеся источники можно отсортировать и разделить по совокупности характеристик, включая потенциальные варианты утилизации, особые типы источников и высокоактивные источники, которые исключают обращение при помощи инструментов с короткими или длинными рукоятками.|"
"The sources remaining for storage and disposal can be sorted further as shown in Fig. 46. |Оставшиеся источники могут быть рассортированы на новые группы для хранения и утилизации, как показано на рис. 46. |",Beta-gamma sources and short half-life alpha emitters (non-transuranic) are likely to be disposed of in shallow land disposal facilities with similar disposal configurations. |Бета-гамма-источники и альфа-излучатели с коротким периодом полураспада (нетрансурановые) чаще всего утилизируются в пунктах приповерхностного захоронения по схожим схемам. |
"The long half-life alpha emitters are in most cases probably not suitable for disposal in shallow land disposal facilities, and thus will remain segregated, in storage, until suitable disposal is available. |Альфа-излучатели с длительным периодом полураспада в большинстве случаев, по-видимому, не подходят для утилизации в пунктах приповерхностного захоронения, и поэтому хранятся отдельно до тех пор, пока не представится подходящая возможность для захоронения. |","Neutron sources, radium sources, and high activity sources are to be segregated due to specific conditioning and handling requirements.|Нейтронные, радиевые и высокоактивные источники нуждаются в разделении в связи с особыми требованиями к их кондиционированию и обращению с ними.|"
FIG. 46. |РИС. 46. |,Operational segregation of disused radioactive sources.
|Схема разделения изъятых из употребления радиоактивных источников.,"Sources with like characteristics affecting storage and disposal should be packaged together. |Источники со схожими характеристиками, влияющими на их хранение и захоронение, следует помещать в общую упаковку. |"
"At this stage it is also possible to limit the contents of the container to ensure compliance with limitations on activity and dose rates.|На этом этапе можно также ограничить заполнение контейнера содержимым таким образом, чтобы обеспечить соблюдение ограничений по активности и мощности дозы.|","If a source is damaged, the possible leakage will have to be contained. |Если источник поврежден, то возможная утечка должна быть локализована. |"
Leaking sources need to be segregated from other sources and separately collected to avoid cross contamination. |Негерметичные источники необходимо отделить от прочих и собрать отдельно во избежание взаимного загрязнения. |,"The devices should be checked for contamination and then placed into packaging consistent with the storage facility requirements. |Устройства должны быть проверены на наличие загрязнения, а затем помещены в упаковку, соответствующую требованиям хранилища. |"
"The temporary containment of devices can be provided by, for example, wrapping the housing in plastic sheeting, or putting it in a rubbish bin or steel drum and sealing the lid. |Временную защиту устройств можно обеспечить, например, если обернуть корпус пластиковой пленкой или поместить его в мусорный бак или стальную бочку и плотно закрыть крышкой. |","These devices can normally be maintained in long term storage with or without additional packaging until further disposition is available. |Как правило, такие устройства могут храниться длительное время в дополнительной упаковке или без нее, пока не представится возможность для дальнейших операций с ними. |"
"In some cases, placement of multiple devices into large storage containers will be required. |В некоторых случаях требуется поместить несколько устройств в большие контейнеры для хранения. |","A complete inventory of all devices within each large container should be generated, maintained, and supplied to the storage facility as required. |Необходимо составить и вести полную опись всех устройств в каждом большом контейнере и при необходимости передать ее в хранилище. |"
"With the exception of security considerations for high activity sources and very large numbers of devices containing smaller sources, there is typically no justification for removal of the sources from the device for maintenance in storage if no disposition path is available.|За исключением соображений безопасности в случае высокоактивных источников и очень большого количества устройств, содержащих источники меньшего размера, обычно нет оснований извлекать источники из устройств для хранения, если утилизация невозможна.|",Removing sources from devices|Извлечение источников из устройств|
"The storage and disposal of radioactive material is usually expensive, and, therefore, in case of a large number of DSRSs, the removal of the sources from the original devices and grouping them together with similar sources for storage or disposal may be considered. |Как правило, хранение и захоронение радиоактивного материала сопряжено со значительными расходами, поэтому при наличии большого количества ИЗРИ может быть рассмотрен вариант извлечения источников из вмещавших их устройств и объединения их с аналогичными источниками для хранения или захоронения. |","This option results in the reduction of the volume of DSRS packages intended for storage or disposal.|Это помогает уменьшить объем упаковок ИЗРИ, предназначенных для хранения или захоронения.|"
"The sources, once removed from the devices can be transferred into a shielded container for storage. |После извлечения из устройств источники могут быть перенесены в экранированный контейнер для хранения. |",The storage containers can be standardized and safety and security measures can be optimized. |Возможна стандартизация таких контейнеров и оптимизация мер безопасности и защиты. |
"However, care must be taken to prevent damaging the source or affecting its physical integrity during the removal process. |Однако необходимо соблюдать осторожность, чтобы в процессе извлечения не повредить источник или не нарушить его физическую целостность. |","Damaged and leaking sources require extra precautions, as well as specialized equipment providing both shielding and containment.|При обращении с поврежденными и негерметичными источниками требуется особая осторожность, а также специализированное оборудование, обеспечивающее как экранирование, так и удержание.|"
"The shielded container, which eventually will house the source, should be designed to result in an acceptable surface dose rate and also provide for the protection of the source as per relevant regulations, as well as minimize the possibility of unauthorized source retrieval. |Экранированный контейнер, в котором в конечном итоге будет размещен источник, должен быть спроектирован таким образом, чтобы обеспечить приемлемую мощность дозы на поверхности и защиту источника согласно соответствующим нормативным положениям, а также свести к минимуму возможность несанкционированного извлечения источника. |",These containers should offer large internal capacity and considerable flexibility for source storage. |Для хранения источников эти контейнеры должны обладать большой емкостью и значительной гибкостью. |
